gid,crop,activity,start_time,end_time
1776.0,Teff,prep,2020-02-09,2020-06-22
1776.0,Teff,tasseling,2020-09-26,2020-10-26
1776.0,Wheat/Barley,flowering,2020-08-07,2020-08-22
1776.0,Wheat/Barley,harvesting,2020-09-26,2020-10-10
1776.0,Wheat/Barley,planting,2020-06-05,2020-06-11
1776.0,Wheat/Barley,prep,2020-12-10,2020-06-02
1776.0,Wheat/Barley,tasseling,2020-08-30,2020-09-06
1777.0,Beans,flowering,2020-08-21,2020-09-05
1777.0,Beans,harvesting,2020-10-23,2020-11-10
1777.0,Beans,planting,2020-06-08,2020-07-07
1777.0,Beans,prep,2020-03-10,2020-05-08
1777.0,Beans,tasseling,2020-09-16,2020-10-11
1777.0,Teff,flowering,2020-08-21,2020-09-05
1777.0,Teff,harvesting,2020-12-10,2020-11-20
1777.0,Teff,planting,2020-05-09,2020-06-22
1777.0,Teff,prep,2020-10-11,2020-05-08
1777.0,Teff,tasseling,2020-09-26,2020-10-16
1777.0,Wheat/Barley,flowering,2020-08-21,2020-09-16
1777.0,Wheat/Barley,harvesting,2020-10-29,2020-11-15
1777.0,Wheat/Barley,planting,2020-06-08,2020-07-03
1777.0,Wheat/Barley,prep,2020-10-12,2020-06-02
1777.0,Wheat/Barley,tasseling,2020-09-27,2020-10-11
1778.0,Beans,flowering,2020-08-07,2020-09-05
1778.0,Beans,harvesting,2020-10-21,2020-11-10
1778.0,Beans,planting,2020-06-08,2020-07-07
1778.0,Beans,prep,2020-06-08,2020-06-09
1778.0,Beans,tasseling,2020-09-12,2020-10-11
1778.0,Wheat/Barley,flowering,2020-09-06,2020-09-26
1778.0,Wheat/Barley,harvesting,2020-10-31,2020-11-20
1778.0,Wheat/Barley,planting,2020-06-08,2020-06-22
1778.0,Wheat/Barley,prep,2020-10-12,2020-05-09
1778.0,Wheat/Barley,tasseling,2020-09-27,2020-10-26
1779.0,Beans,flowering,2020-08-21,2020-09-06
1779.0,Beans,harvesting,2020-10-12,2020-11-10
1779.0,Beans,planting,2020-06-07,2020-06-07
1779.0,Beans,prep,2020-11-19,2020-04-23
1779.0,Beans,tasseling,2020-09-16,2020-10-11
1779.0,Wheat/Barley,flowering,2020-08-21,2020-09-05
1779.0,Wheat/Barley,harvesting,2020-10-26,2020-11-25
1779.0,Wheat/Barley,planting,2020-06-23,2020-07-07
1779.0,Wheat/Barley,prep,2020-10-12,2020-05-08
1779.0,Wheat/Barley,tasseling,2020-09-06,2020-10-11
1780.0,Maize,flowering,2020-08-07,2020-09-05
1780.0,Maize,harvesting,2020-10-11,2020-11-10
1780.0,Maize,planting,2020-05-09,2020-06-02
1780.0,Maize,prep,2020-03-10,2020-05-08
1780.0,Maize,tasseling,2020-09-06,2020-09-16
1780.0,Teff,flowering,2020-09-01,2020-10-03
1780.0,Teff,harvesting,2020-11-01,2020-11-16
1780.0,Teff,planting,2020-07-05,2020-07-19
1780.0,Teff,prep,2020-02-10,2020-07-02
1780.0,Teff,tasseling,2020-10-05,2020-10-26
1780.0,Wheat/Barley,flowering,2020-08-21,2020-09-16
1780.0,Wheat/Barley,harvesting,2020-10-09,2020-10-21
1780.0,Wheat/Barley,planting,2020-06-02,2020-07-14
1780.0,Wheat/Barley,prep,2020-10-12,2020-05-28
1780.0,Wheat/Barley,tasseling,2020-09-17,2020-10-06
1787.0,Teff,flowering,2020-09-12,2020-09-27
1787.0,Teff,harvesting,2020-11-15,2020-12-31
1787.0,Teff,planting,2020-06-27,2020-07-12
1787.0,Teff,prep,2020-03-10,2020-06-07
1787.0,Teff,tasseling,2020-10-12,2020-11-10
1787.0,Wheat/Barley,flowering,2020-08-22,2020-09-27
1787.0,Wheat/Barley,harvesting,2020-11-11,2020-12-11
1787.0,Wheat/Barley,planting,2020-06-08,2020-06-19
1787.0,Wheat/Barley,prep,2020-12-25,2020-05-28
1787.0,Wheat/Barley,tasseling,2020-09-27,2020-11-10
1788.0,Teff,flowering,2020-08-11,2020-09-05
1788.0,Teff,harvesting,2020-11-10,2020-11-15
1788.0,Teff,planting,2020-06-22,2020-07-07
1788.0,Teff,prep,2020-12-25,2020-06-06
1788.0,Teff,tasseling,2020-09-16,2020-10-16
1788.0,Wheat/Barley,flowering,2020-10-05,2020-09-27
1788.0,Wheat/Barley,harvesting,2020-11-11,2020-12-10
1788.0,Wheat/Barley,planting,2020-06-02,2020-06-23
1788.0,Wheat/Barley,prep,2020-12-11,2020-05-01
1788.0,Wheat/Barley,tasseling,2020-09-27,2020-11-10
1789.0,Teff,flowering,2020-09-12,2020-09-26
1789.0,Teff,harvesting,2020-11-04,2020-12-10
1789.0,Teff,planting,2020-06-23,2020-07-07
1789.0,Teff,prep,2020-03-10,2020-06-07
1789.0,Teff,tasseling,2020-10-01,2020-10-11
1789.0,Wheat/Barley,flowering,2020-08-30,2020-09-21
1789.0,Wheat/Barley,harvesting,2020-11-10,2020-12-10
1789.0,Wheat/Barley,planting,2020-07-14,2020-06-30
1789.0,Wheat/Barley,prep,2020-12-11,2020-05-08
1789.0,Wheat/Barley,tasseling,2020-10-01,2020-10-21
1790.0,Teff,flowering,2020-08-22,2020-09-05
1790.0,Teff,harvesting,2020-11-11,2020-12-10
1790.0,Teff,planting,2020-06-08,2020-07-12
1790.0,Teff,prep,2020-03-10,2020-06-02
1790.0,Teff,tasseling,2020-09-16,2020-11-11
1790.0,Wheat/Barley,flowering,2020-08-21,2020-09-12
1790.0,Wheat/Barley,harvesting,2020-11-12,2020-12-09
1790.0,Wheat/Barley,planting,2020-06-08,2020-07-07
1790.0,Wheat/Barley,prep,2020-12-11,2020-05-11
1790.0,Wheat/Barley,tasseling,2020-09-26,2020-11-10
1791.0,Teff,flowering,2020-09-05,2020-09-27
1791.0,Teff,harvesting,2020-10-31,2020-11-26
1791.0,Teff,planting,2020-06-08,2020-06-30
1791.0,Teff,prep,2020-12-11,2020-05-24
1791.0,Teff,tasseling,2020-09-28,2020-10-21
1791.0,Wheat/Barley,flowering,2020-08-22,2020-09-26
1791.0,Wheat/Barley,harvesting,2020-11-11,2020-12-10
1791.0,Wheat/Barley,planting,2020-05-09,2020-10-16
1791.0,Wheat/Barley,prep,2020-12-11,2020-05-08
1791.0,Wheat/Barley,tasseling,2020-09-27,2020-10-16
1794.0,Potato,flowering,2020-06-08,2020-07-23
1794.0,Potato,harvesting,2020-08-22,2020-12-31
1794.0,Potato,planting,2020-03-24,2020-05-24
1794.0,Potato,prep,2020-12-11,2020-03-10
1794.0,Potato,tasseling,2020-08-07,2020-09-05
1794.0,Wheat/Barley,flowering,2020-08-22,2020-09-05
1794.0,Wheat/Barley,harvesting,2020-11-11,2020-12-10
1794.0,Wheat/Barley,planting,2020-05-23,2020-06-16
1794.0,Wheat/Barley,prep,2020-12-11,2020-05-08
1794.0,Wheat/Barley,tasseling,2020-09-12,2020-10-26
1795.0,Maize,flowering,2020-08-07,2020-08-22
1795.0,Maize,harvesting,2020-10-27,2020-11-10
1795.0,Maize,planting,2020-05-09,2020-05-23
1795.0,Maize,prep,2020-02-01,2020-04-23
1795.0,Maize,tasseling,2020-09-05,2020-10-11
1795.0,Millet,flowering,2020-08-07,2020-09-05
1795.0,Millet,harvesting,2020-10-26,2020-11-20
1795.0,Millet,planting,2020-04-09,2020-05-08
1795.0,Millet,prep,2020-02-09,2020-04-08
1795.0,Millet,tasseling,2020-09-12,2020-09-26
1797.0,Bean,flowering,2020-07-23,2020-08-21
1797.0,Bean,harvesting,2020-10-12,2020-11-10
1797.0,Bean,planting,2020-06-08,2020-06-23
1797.0,Bean,prep,2020-03-10,2020-06-07
1797.0,Bean,tasseling,2020-08-22,2020-09-26
1797.0,Maize,flowering,2020-08-07,2020-08-22
1797.0,Maize,harvesting,2020-10-12,2020-11-10
1797.0,Maize,planting,2020-05-15,2020-01-07
1797.0,Maize,prep,2020-03-10,2020-05-08
1797.0,Maize,tasseling,2020-08-27,2020-09-27
1797.0,Teff,flowering,2020-08-22,2020-10-11
1797.0,Teff,harvesting,2020-11-15,2020-12-10
1797.0,Teff,planting,2020-07-08,2020-08-07
1797.0,Teff,prep,2020-03-10,2020-08-07
1797.0,Teff,tasseling,2020-10-12,2020-11-10
1798.0,Maize,flowering,2020-08-22,2020-09-12
1798.0,Maize,harvesting,2020-10-27,2020-11-10
1798.0,Maize,planting,2020-05-09,2020-05-28
1798.0,Maize,prep,2020-03-10,2020-05-08
1798.0,Maize,tasseling,2020-09-21,2020-10-11
1798.0,Teff,flowering,2020-09-05,2020-09-27
1798.0,Teff,harvesting,2020-11-05,2020-12-10
1798.0,Teff,planting,2020-07-08,2020-07-23
1798.0,Teff,prep,2020-03-10,2020-07-07
1798.0,Teff,tasseling,2020-09-28,2020-10-11
1799.0,Maize,flowering,2020-09-06,2020-09-26
1799.0,Maize,harvesting,2020-11-11,2020-11-11
1799.0,Maize,planting,2020-06-08,2020-06-22
1799.0,Maize,prep,2020-03-10,2020-06-07
1799.0,Maize,tasseling,2020-09-28,2020-10-10
1799.0,Millet,flowering,2020-09-01,2020-09-26
1799.0,Millet,harvesting,2020-10-31,2020-12-10
1799.0,Millet,planting,2020-05-18,2020-06-07
1799.0,Millet,prep,2020-03-10,2020-05-09
1799.0,Millet,tasseling,2020-09-30,2020-10-16
1799.0,Teff,flowering,2020-09-26,2020-10-26
