FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,latitude,longitude,latitude_dest,longitude_dest
2019-10-24,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1185,DFW,"Dallas/Fort Worth, TX",BWI,"Baltimore, MD",1430,,,,,,,1822,,,1.0,B,0.0,172.0,,,1217.0,,,,,,32.89651945,-97.0465220537124,39.1828341,-76.6698273
2019-10-24,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1660,DFW,"Dallas/Fort Worth, TX",MCO,"Orlando, FL",1904,,,,,,,2244,,,1.0,A,0.0,160.0,,,985.0,,,,,,32.89651945,-97.0465220537124,28.412903550000003,-81.30944309752753
2019-10-17,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,4,HNL,"Honolulu, HI",LAX,"Los Angeles, CA",2140,,,,,,,600,,,1.0,A,0.0,320.0,,,2556.0,,,,,,21.32040435,-157.9173135198164,33.94216754999999,-118.42135906141588
2019-01-29,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,870,OAK,"Oakland, CA",EWR,"Newark, NJ",655,,,,,,,1515,,,1.0,B,0.0,320.0,,,2555.0,,,,,,37.72225915,-122.21701661553246,40.68906405,-74.17725485035348
2019-06-15,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,219,MCO,"Orlando, FL",LAX,"Los Angeles, CA",1715,,,,,,,1927,,,1.0,C,0.0,312.0,,,2218.0,,,,,,28.412903550000003,-81.30944309752753,33.94216754999999,-118.42135906141588
2019-10-31,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1653,AUS,"Austin, TX",EWR,"Newark, NJ",630,,,,,,,1105,,,1.0,B,0.0,215.0,,,1504.0,,,,,,30.19348925,-97.66500963529676,40.68906405,-74.17725485035348
2019-09-01,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,69,LGB,"Long Beach, CA",HNL,"Honolulu, HI",830,,,,,,,1125,,,1.0,A,0.0,355.0,,,2569.0,,,,,,33.815565899999996,-118.1534292216672,21.32040435,-157.9173135198164
2019-03-02,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2247,BWI,"Baltimore, MD",ORD,"Chicago, IL",943,,,,,,,1110,,,1.0,A,0.0,147.0,,,621.0,,,,,,39.1828341,-76.6698273,41.9780813,-87.90918176930403
2019-10-10,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2251,DFW,"Dallas/Fort Worth, TX",BWI,"Baltimore, MD",2059,,,,,,,49,,,1.0,B,0.0,170.0,,,1217.0,,,,,,32.89651945,-97.0465220537124,39.1828341,-76.6698273
2019-10-20,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2390,DFW,"Dallas/Fort Worth, TX",LAS,"Las Vegas, NV",2225,2349.0,84.0,,,,,2320,,,1.0,B,0.0,175.0,,,1055.0,,,,,,32.89651945,-97.0465220537124,36.0861034,-115.1611197919236
2019-01-20,JetBlue Airways,JetBlue Airways: B6,B6,20409,61,BOS,"Boston, MA",SJU,"San Juan, PR",2249,,,,,,,345,,,1.0,B,0.0,236.0,,,1674.0,,,,,,42.36317665,-71.01364006269452,18.44319945,-65.99743036847468
2021-06-12,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1279,ORD,"Chicago, IL",OAK,"Oakland, CA",1602,,,,,,,1841,,,1.0,B,0.0,279.0,,,1836.0,,,,,,41.9780813,-87.90918176930403,37.72225915,-122.21701661553246
2019-10-24,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,716,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1405,,,,,,,1520,,,1.0,C,0.0,75.0,,,236.0,,,,,,33.94216754999999,-118.42135906141588,36.0861034,-115.1611197919236
2019-03-29,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1057,LAS,"Las Vegas, NV",MCO,"Orlando, FL",705,,,,,,,1425,,,1.0,A,0.0,260.0,,,2039.0,,,,,,36.0861034,-115.1611197919236,28.412903550000003,-81.30944309752753
2020-04-25,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3286,SJU,"San Juan, PR",MDW,"Chicago, IL",1535,,,,,,,1945,,,1.0,D,0.0,310.0,,,2057.0,,,,,,18.44319945,-65.99743036847468,41.7854316,-87.75084869357148
2019-10-11,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2538,DFW,"Dallas/Fort Worth, TX",MCO,"Orlando, FL",905,,,,,,,1246,,,1.0,B,0.0,161.0,,,985.0,,,,,,32.89651945,-97.0465220537124,28.412903550000003,-81.30944309752753
2019-11-11,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,505,AUS,"Austin, TX",LAS,"Las Vegas, NV",2100,,,,,,,2203,,,1.0,B,0.0,183.0,,,1090.0,,,,,,30.19348925,-97.66500963529676,36.0861034,-115.1611197919236
2019-03-17,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2576,ORD,"Chicago, IL",BWI,"Baltimore, MD",1945,,,,,,,2231,,,1.0,A,0.0,106.0,,,621.0,,,,,,41.9780813,-87.90918176930403,39.1828341,-76.6698273
2019-11-27,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4455,LAS,"Las Vegas, NV",BWI,"Baltimore, MD",1320,,,,,,,2045,,,1.0,A,0.0,265.0,,,2106.0,,,,,,36.0861034,-115.1611197919236,39.1828341,-76.6698273
2019-12-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1666,EWR,"Newark, NJ",BOS,"Boston, MA",1530,,,,,,,1643,,,1.0,B,0.0,73.0,,,200.0,,,,,,40.68906405,-74.17725485035348,42.36317665,-71.01364006269452
