,date,province,confirmed
881,2020-03-11,Gyeongsangbuk-do,1135
882,2020-03-11,Gyeongsangnam-do,84
883,2020-03-11,Jeju-do,4
884,2020-03-12,Seoul,212
885,2020-03-12,Busan,99
886,2020-03-12,Daegu,5867
887,2020-03-12,Incheon,25
888,2020-03-12,Gwangju,15
889,2020-03-12,Daejeon,20
890,2020-03-12,Ulsan,25
892,2020-03-12,Gyeonggi-do,178
893,2020-03-12,Gangwon-do,29
894,2020-03-12,Chungcheongbuk-do,27
895,2020-03-12,Chungcheongnam-do,114
896,2020-03-12,Jeollabuk-do,7
897,2020-03-12,Jeollanam-do,4
898,2020-03-12,Gyeongsangbuk-do,1143
899,2020-03-12,Gyeongsangnam-do,85
900,2020-03-12,Jeju-do,4
901,2020-03-13,Seoul,225
902,2020-03-13,Busan,100
903,2020-03-13,Daegu,5928
904,2020-03-13,Incheon,27
905,2020-03-13,Gwangju,15
906,2020-03-13,Daejeon,22
907,2020-03-13,Ulsan,27
909,2020-03-13,Gyeonggi-do,185
910,2020-03-13,Gangwon-do,29
911,2020-03-13,Chungcheongbuk-do,27
912,2020-03-13,Chungcheongnam-do,115
913,2020-03-13,Jeollabuk-do,7
914,2020-03-13,Jeollanam-do,4
915,2020-03-13,Gyeongsangbuk-do,1147
916,2020-03-13,Gyeongsangnam-do,85
917,2020-03-13,Jeju-do,4
918,2020-03-14,Seoul,238
919,2020-03-14,Busan,103
920,2020-03-14,Daegu,5990
921,2020-03-14,Incheon,28
922,2020-03-14,Gwangju,15
923,2020-03-14,Daejeon,22
924,2020-03-14,Ulsan,27
926,2020-03-14,Gyeonggi-do,200
927,2020-03-14,Gangwon-do,29
928,2020-03-14,Chungcheongbuk-do,28
929,2020-03-14,Chungcheongnam-do,115
930,2020-03-14,Jeollabuk-do,7
931,2020-03-14,Jeollanam-do,4
932,2020-03-14,Gyeongsangbuk-do,1153
933,2020-03-14,Gyeongsangnam-do,85
934,2020-03-14,Jeju-do,4
935,2020-03-15,Seoul,247
936,2020-03-15,Busan,106
937,2020-03-15,Daegu,6031
938,2020-03-15,Incheon,30
939,2020-03-15,Gwangju,16
940,2020-03-15,Daejeon,22
941,2020-03-15,Ulsan,28
943,2020-03-15,Gyeonggi-do,211
